age,gender_label,gender_male,field_label,is_stem,academic_status,ai_course_experience,ai_usage_duration,ai_frequency_label,ai_frequency,weekly_time,confidence,self_rated_knowledge,3.1_correct,3.2_correct,3.3_correct,3.4_correct,3.5_correct,3.6_correct,3.7_correct,3.8_correct,3.9_correct,3.10_correct,3.11_correct,OLS,self_estimate,overconfidence_gap,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,competence_trust,perceived_risk,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,domain_low_stakes,domain_high_stakes,passed_math_check,passed_agree_check,passed_attention,timestamp
26.0,Male,1.0,Economics/Econometrics,0,Master's student,Yes (2–3 courses),1–2 years,Daily,5,3–7 hours,4.0,3.0,1,1,1,1,1,1,1,1,0,0,1,9,9.0,0.0,3.0,3.0,3.0,1.0,3.0,4.0,4.0,4.0,3.0,5.0,2.0,2.8333333333333335,3.6,4.0,4.0,3.0,4.0,3.0,2.0,1.0,2.0,3.75,2.0,True,True,True,2026/06/05 12:44:22 AM MEZ
27.0,Male,1.0,Computer Science/Informatics,1,PhD student,Yes (>3 courses),More than 2 years,Multiple times per day,6,More than 7 hours,5.0,3.0,1,1,0,0,0,0,1,1,1,1,0,6,6.0,0.0,3.0,3.0,2.0,3.0,2.0,4.0,4.0,1.0,2.0,4.0,3.0,2.8333333333333335,2.8,4.0,3.0,3.0,4.0,3.0,1.0,2.0,1.0,3.5,1.75,True,True,True,2026/06/05 1:36:25 AM MEZ
29.0,Male,1.0,Computer Science/Informatics,1,Graduate working,No,1–2 years,Daily,5,1–3 hours,3.0,2.0,0,0,0,0,1,1,0,0,1,0,0,3,3.0,0.0,3.0,3.0,3.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.1666666666666665,2.8,4.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,True,True,True,2026/06/05 1:43:18 AM MEZ
24.0,Male,1.0,Business/Management/Marketing,0,Undergraduate,No,1–2 years,A few times a week,4,1–3 hours,3.0,3.0,1,1,1,0,1,1,1,1,1,1,1,10,6.0,-4.0,4.0,5.0,5.0,4.0,4.0,5.0,2.0,1.0,2.0,3.0,4.0,4.5,2.4,4.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.25,3.5,True,True,True,2026/06/05 3:16:28 AM MEZ
40.0,Female,0.0,Computer Science/Informatics,1,Assistant Professor,No,1–2 years,A few times a week,4,Less than 30 minutes,4.0,4.0,1,1,1,1,1,1,0,0,1,1,1,9,9.0,0.0,3.0,3.0,3.0,1.0,2.0,4.0,3.0,3.0,2.0,4.0,2.0,2.6666666666666665,2.8,4.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,3.25,2.25,True,True,True,2026/06/05 9:20:05 AM MEZ
20.0,Female,0.0,Computer Science/Informatics,1,Undergraduate,Yes (1 course),6–12 months,Daily,5,30–60 minutes,4.0,3.0,0,1,0,0,1,1,0,0,1,0,0,4,5.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,2.5,3.4,4.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0,3.25,2.75,True,True,True,2026/06/05 9:20:06 AM MEZ
19.0,Male,1.0,Computer Science/Informatics,1,Undergraduate,Yes (1 course),1–2 years,A few times a week,4,1–3 hours,4.0,3.0,1,0,1,0,1,1,1,1,1,1,1,9,7.0,-2.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,3.5,2.8,3.0,4.0,3.0,4.0,2.0,3.0,2.0,3.0,3.25,2.75,True,True,True,2026/06/05 10:05:00 AM MEZ
19.0,Male,1.0,Computer Science/Informatics,1,Undergraduate,No,6–12 months,Daily,5,1–3 hours,4.0,2.0,1,0,0,0,0,0,0,0,1,0,0,2,1.0,-1.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.3333333333333335,3.2,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.25,2.25,True,True,True,2026/06/05 10:12:38 AM MEZ
22.0,Male,1.0,AI/Data Science/Machine Learning,1,Master's student,Yes (>3 courses),More than 2 years,Multiple times per day,6,More than 7 hours,4.0,3.0,1,1,1,1,1,1,1,1,1,1,1,11,9.0,-2.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.8333333333333335,3.2,4.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,4.5,3.0,True,True,True,2026/06/05 10:20:52 AM MEZ
23.0,Female,0.0,Computer Science/Informatics,1,Master's student,No,1–2 years,Multiple times per day,6,1–3 hours,4.0,2.0,0,0,0,0,0,1,0,0,0,0,0,1,2.0,1.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.5,3.2,4.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,3.5,2.75,True,True,True,2026/06/05 11:10:04 AM MEZ
29.0,Female,0.0,AI/Data Science/Machine Learning,1,Master's student,Yes (>3 courses),More than 2 years,Less than once a month,2,I don't use them weekly,2.0,3.0,1,1,1,1,1,1,1,0,1,1,1,10,9.0,-1.0,2.0,3.0,4.0,4.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,2.5,1.25,True,True,True,2026/06/05 12:52:20 PM MEZ
26.0,Male,1.0,Engineering/Technology,1,PhD student,Yes (>3 courses),1–2 years,Multiple times per day,6,1–3 hours,2.0,4.0,1,1,1,1,1,1,1,1,1,1,1,11,11.0,0.0,2.0,2.0,2.0,4.0,2.0,3.0,5.0,5.0,1.0,3.0,3.0,2.5,3.4,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.5,True,True,True,2026/06/05 1:16:58 PM MEZ
24.0,Male,1.0,Computer Science/Informatics,1,Undergraduate,Yes (2–3 courses),More than 2 years,Daily,5,1–3 hours,3.0,4.0,1,0,0,1,1,0,0,0,1,1,0,5,5.0,0.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,2.0,4.0,3.0,3.1666666666666665,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.25,2.75,True,True,True,2026/06/05 1:45:03 PM MEZ
34.0,Female,0.0,Computer Science/Informatics,1,Graduate working,Yes (1 course),More than 2 years,Multiple times per day,6,3–7 hours,4.0,4.0,1,1,1,1,1,1,1,1,1,0,1,10,8.0,-2.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,3.6666666666666665,2.8,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,2.75,True,True,True,2026/06/05 2:01:24 PM MEZ
46.0,Male,1.0,Computer Science/Informatics,1,PhD student,No,Less than 6 months,Daily,5,More than 7 hours,4.0,2.0,0,0,1,1,0,0,1,1,1,1,0,6,8.0,2.0,2.0,4.0,3.0,1.0,2.0,4.0,3.0,4.0,4.0,5.0,3.0,2.6666666666666665,3.8,4.0,4.0,3.0,4.0,3.0,3.0,2.0,2.0,3.75,2.5,True,True,True,2026/06/05 3:40:35 PM MEZ
23.0,Male,1.0,Physics,1,Graduate working,No,More than 2 years,Multiple times per day,6,3–7 hours,2.0,1.0,0,1,1,1,1,1,1,0,1,1,1,9,6.0,-3.0,4.0,4.0,3.0,1.0,1.0,3.0,4.0,3.0,5.0,4.0,3.0,2.6666666666666665,3.8,4.0,3.0,4.0,5.0,2.0,1.0,2.0,1.0,3.5,2.0,True,True,True,2026/06/05 5:17:12 PM MEZ
24.0,Female,0.0,Health/Medicine/Psychology,1,Master's student,No,1–2 years,Daily,5,Less than 30 minutes,3.0,2.0,0,0,0,0,0,1,0,0,1,1,0,3,1.0,-2.0,4.0,4.0,3.0,2.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,3.1666666666666665,3.2,4.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,3.75,2.0,True,True,True,2026/06/05 5:27:40 PM MEZ
29.0,Male,1.0,Computer Science/Informatics,1,PhD student,Yes (1 course),1–2 years,Multiple times per day,6,1–3 hours,5.0,3.0,1,1,0,1,1,1,1,1,1,1,1,10,10.0,0.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,2.0,3.3333333333333335,1.6,4.0,4.0,3.0,5.0,3.0,3.0,2.0,3.0,4.0,2.75,True,True,True,2026/06/05 5:54:43 PM MEZ
23.0,Male,1.0,Computer Science/Informatics,1,Master's student,Yes (>3 courses),More than 2 years,Multiple times per day,6,3–7 hours,4.0,4.0,1,0,1,1,0,1,0,1,0,1,1,7,11.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.1666666666666665,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,3.75,2.75,True,True,True,2026/06/05 11:46:08 PM MEZ
24.0,Male,1.0,AI/Data Science/Machine Learning,1,Graduate working,Yes (2–3 courses),More than 2 years,Multiple times per day,6,3–7 hours,4.0,3.0,0,0,1,1,1,1,0,0,0,0,0,4,7.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.3333333333333335,2.4,3.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,3.75,3.0,True,True,True,2026/06/06 7:46:44 AM MEZ
19.0,Female,0.0,Computer Science/Informatics,1,Undergraduate,Yes (1 course),6–12 months,A few times a week,4,30–60 minutes,4.0,2.0,0,1,0,1,0,1,0,0,1,0,0,4,4.0,0.0,2.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,5.0,5.0,4.0,2.6666666666666665,4.2,1.0,3.0,1.0,4.0,4.0,3.0,1.0,2.0,3.0,1.75,True,True,True,2026/06/06 11:30:11 AM MEZ
35.0,Female,0.0,Computer Science/Informatics,1,PhD student,Yes (>3 courses),I don't use them,Never or almost never,1,I don't use them weekly,4.0,5.0,1,1,1,0,1,1,1,1,1,1,1,10,10.0,0.0,3.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.4,2.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,2.75,1.25,True,True,True,2026/06/06 1:01:35 PM MEZ
22.0,Male,1.0,Health/Medicine/Psychology,1,Master's student,No,More than 2 years,A few times a week,4,30–60 minutes,4.0,3.0,0,0,1,0,0,0,1,0,0,1,0,3,4.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,2.0,3.5,3.2,5.0,3.0,3.0,2.0,3.0,2.0,1.0,3.0,3.25,2.25,True,True,True,2026/06/08 9:10:13 AM MEZ
36.0,Female,0.0,AI/Data Science/Machine Learning,1,Graduate working,Yes (2–3 courses),1–2 years,Multiple times per day,6,1–3 hours,4.0,4.0,1,1,1,1,1,1,1,1,1,1,1,11,9.0,-2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,2.8333333333333335,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.75,True,True,True,2026/06/08 12:00:20 PM MEZ
24.0,Female,0.0,Social Sciences,0,Undergraduate,No,I don't use them,Never or almost never,1,I don't use them weekly,2.0,2.0,0,0,0,0,0,1,1,1,1,1,0,5,9.0,4.0,2.0,2.0,1.0,1.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,1.8333333333333333,4.4,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.25,True,True,True,2026/06/08 3:16:08 PM MEZ
22.0,Male,1.0,Engineering/Technology,1,Master's student,Yes (>3 courses),More than 2 years,Multiple times per day,6,3–7 hours,4.0,4.0,1,1,1,1,1,0,1,0,1,0,0,7,7.0,0.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,5.0,4.5,4.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.75,True,True,True,2026/06/08 10:40:52 PM MEZ
24.0,Male,1.0,Business/Management/Marketing,0,Master's student,Yes (2–3 courses),More than 2 years,A few times a week,4,1–3 hours,4.0,2.0,0,0,0,0,0,1,1,0,1,1,1,5,5.0,0.0,3.0,4.0,3.0,1.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,2.8333333333333335,3.4,3.0,4.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.25,True,True,True,2026/06/08 11:10:57 PM MEZ
20.0,Male,1.0,Business/Management/Marketing,0,Undergraduate,No,More than 2 years,Daily,5,1–3 hours,4.0,4.0,1,0,0,1,1,0,1,0,1,0,1,6,5.0,-1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.8333333333333335,3.4,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.25,3.75,True,True,True,2026/06/09 1:33:10 PM MEZ
28.0,Male,1.0,Computer Science/Informatics,1,Master's student,Yes (2–3 courses),More than 2 years,Daily,5,3–7 hours,4.0,4.0,1,1,1,1,1,1,1,1,1,1,1,11,9.0,-2.0,3.0,4.0,4.0,2.0,1.0,5.0,3.0,2.0,3.0,4.0,2.0,3.1666666666666665,2.8,4.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,3.5,2.25,True,True,True,2026/06/09 7:53:35 PM MEZ
